file,issue_folder,volume,issue_number,month,year,title,authors,keywords,pages,abstract_words,duplicate_of,abstract
IJEPA-2026-001.pdf,Vol 1_Issue 1_Jan 2026,1,1,January,2026,AR-Based Interactive Learning Application,Radhika Pardeshi | Bhumika Rajvir | Shrutika Nivangune | Ankita Mate | Prof. Vijay Mohite,"Augmented Reality (AR), Interactive Application, 3D Content Overlay, Object Recognition, Interactive Learning, Mobile AR, Marker-Based Tracking, Human–Computer Interaction (HCI), Digital-Augmented Environment, Enhanced User Experience (UX)",14,151,,"The current project introduces an interactive application based on Augmented Reality (AR) and is created to improve user engagement by incorporating virtual reality content with the actual surroundings. Augmented Reality (AR) is transforming education by providing interactive and immersive learning experiences [1]. The app takes advantage of the camera, sensors, and AR systems to identify surfaces and objects or markers on a physical object and superimpose them with intuitive 3D visuals, animations, and interactive features. The system is made to be very realistic and dynamic by enabling users to interact in a natural manner, such as through touch, gesture, and movement. The primary objective of the application is to enhance the process of learning, exploring, or executing activities by users, making the information visually enhanced and readily understandable. The AR interface can be applied in education, training, entertainment, and product visualization, and is based on real-time feedback and promotes active interaction."
IJEPA-2026-002.pdf,Vol 1_Issue 1_Jan 2026,1,1,January,2026,Advanced Precision Agriculture through Regression and Reinforced Machine Learning: An approach to improve the crop yields,Yogesh B. Pawar,"Sentiment Analysis, Social Media, Feature Extraction, Machine Learning, NLP, XGBoost, SVM, Naïve Bayes. Original Article International Journal of Engineering Practices and Applications (IJEPA) Volume 1, Issue 1, January (2026) ©BuildSoftTech Publications 2",9,304,,"As we know that the current soil structure is suffering from salinity due to excessing watering to crops & use of excess of inorganic fertilizers. As per the research conducted by agricultural scientist, if we manage the proper uptake of water & limited inorganic fertilizers, we can reduce the overhead of spraying the insecticides & also improve the yields of crops. By considering those crop aspects we propose. “Advanced Precision Agriculture through Regression & Reinforced Machine Learning”. This study discovers the combination of IoT-based sensing with reinforcement learning, specifically Q-learning, to improve plant growth supervision in both controlled and natural field conditions. The basic objective is to derive actionable insights which increases crop yields by utilizing minimum resources. An IoT-enabled system was designed to capture real-time information from sensors monitoring soil temperature, soil moisture, air temperature, humidity, and growth parameters. Controlled experimentations simulates ideal growth settings, whereas on-field judgments depicts natural variability. These IOT collected information were analyzed using Reinforced Machine Learning (Q-learning algorithm), permitting the system to make advanced & adaptive decisions and optimize plant development. Iterative learning enabled the framework to establish links between ecological factors and plant responses, vigorously adjusting irrigation and environmental controls based on feedback. The results demonstrated that the controlled setup generated greater consistency in growth and higher resource efficiency due to its stability. In contrast, the on-field system underscored adaptability by generating strategies to cope with environmental uncertainty. These studies focuses the combined potential of IoT and reinforcement learning to support sustainable agriculture. The findings validate IoT-based advanced checking as a practical tool for optimizing plant growth. The proposed approach offers pathways to improve crop yields, minimize input use, and promote long-term sustainability. Future research will extend the framework to diverse crops, enhance Q-learning models for complex decision- making, and integrate additional environmental parameters for comprehensive analysis."
IJEPA-2026-003.pdf,Vol 1_Issue 1_Jan 2026,1,1,January,2026,"Carbon Capture and Storage: Technologies, Challenges, and Future Prospects",Pramod Bhanudasrao Gavane,"Carbon Capture, CO₂ Storage, Climate Change, Fossil Fuels, Emission Reduction",7,96,,"Carbon Capture and Storage (CCS) is an advanced technological approach designed to reduce carbon dioxide (CO₂) emissions from industrial and energy sectors. It involves capturing CO₂ from emission sources, transporting it, and storing it in geological formations for long-term isolation. CCS can potentially capture up to 90% of emissions from fossil fuel-based systems, making it a key solution for mitigating climate change. This paper presents an overview of CCS technologies, transport and storage methods, economic implications, environmental concerns, and future prospects. The study emphasizes the importance of CCS as a transitional strategy toward sustainable energy systems."
IJEPA-2026-004.pdf,Vol 1_Issue 1_Jan 2026,1,1,January,2026,Performance Evaluation of Fly Ash-Based Geopolymer Concrete,Pramod Bhanudasrao Gavane,"Geopolymer concrete, Fly ash, Alkali activation, Compressive strength, Sustainable materials",4,107,,"The increasing environmental impact of Portland cement production has encouraged the development of sustainable construction materials. This study investigates the performance of fly ash-based geopolymer concrete as an alternative binder system. Fly ash, an industrial by-product, was activated using alkaline solutions comprising sodium hydroxide and sodium silicate. The effects of parameters such as molarity of alkaline solution, water-to-binder ratio, and curing conditions were analyzed. Experimental findings indicate that geopolymer concrete exhibits superior compressive strength, enhanced durability, and reduced permeability compared to conventional concrete. Heat curing significantly improves early strength development. The study concludes that fly ash-based geopolymer concrete is a viable and eco-friendly alternative for modern construction"
IJEPA-2026-005.pdf,Vol 1_Issue 1_Jan 2026,1,1,January,2026,Assessment of Groundwater Quality Using Water Quality Index (WQI) and Linear Regression Analysis for Rural Areas of Latur,Pramod Bhanudasrao Gavane,"Groundwater Quality, Water Quality Index (WQI), Linear Regression, Correlation Analysis, Rural Water Resources",5,150,,"Groundwater is one of the most important sources of freshwater used for drinking, agriculture, and domestic purposes in rural areas. However, increasing population, agricultural activities, and improper waste disposal have led to the deterioration of groundwater quality. This study evaluates groundwater quality in rural areas of Latur using the Water Quality Index (WQI) method and statistical tools such as correlation and linear regression analysis. Various physicochemical parameters including pH, electrical conductivity, turbidity, total dissolved solids (TDS), chloride, sulphate, fluoride, iron, total hardness, calcium, magnesium, and alkalinity were analyzed. Groundwater samples were collected during pre-monsoon and post-monsoon seasons and tested using standard laboratory methods. The WQI approach was used to determine the suitability of groundwater for drinking purposes, while regression analysis was applied to identify relationships between water quality parameters. The results provide valuable insights into groundwater quality status and assist in developing strategies for sustainable groundwater management in rural regions."
IJEPA-2026-006.pdf,Vol 1_Issue 2_Feb 2026,1,2,February,2026,"Global Climate Change Adaptation Research (1990–2025): Trends, Methodologies, and Emerging Research Gaps",Ketan Ghosale | Manish P. Raut | Dr. Y. B. Gurav | Vrushabh Tokse | Gaurav Khobragade,"Climate Change, Climate Adaptation, Sustainable Development, Climate Resilience, Bibliometric Analysis, Research Trends, Environmental Sustainability, Global Warming. International Journal of Engineering Practices and Applications (IJEPA) Volume 1, Issue 2, February (2026) ©BuildSoftTech Publications 2",20,271,,"As environmental dangers and socioeconomic vulnerabilities increase worldwide; climate change adaptation has emerged as a critical field of study. In order to identify important trends, methodological developments, prevailing theme areas, and current research shortages, this study offers a thorough evaluation of worldwide climate change adaptation research carried out between 1990 and 2025. About 150 excellent papers from major academic databases and worldwide institutional repositories were examined using bibliometric analysis in conjunction with a systematic literature review that adhered to PRISMA principles. The findings show that adaptation research has undergone a substantial change, moving from early conceptual frameworks and risk assessments in the 1990s to sophisticated, data-driven, and multidisciplinary approaches in the 2020s. In order to improve climate resilience planning, recent research have increasingly used machine learning, geospatial technology, predictive modelling, and integrated policy frameworks. Coastal ecosystem preservation, urban resilience, water resource management, agriculture and food security, and health adaption are some of the main study topics. The worldwide research landscape is still unequal despite significant advancements, with a large concentration of papers coming from wealthy nations and under-representation from extremely vulnerable regions including South Asia, Africa, and tiny island states. Furthermore, there are still significant gaps in the integration of indigenous knowledge systems, social fairness, real-time climate data, and the efficient conversion of scientific discoveries into practical policy. This study highlights the significance of egalitarian, AI-supported, and transdisciplinary methods and offers a conceptual framework that connects research progress with real-world implementation procedures in order to address these issues. In order to advance inclusive and successful climate change adaptation plans globally, it is imperative that global collaboration and data accessibility be strengthened."
IJEPA-2026-007.pdf,Vol 1_Issue 2_Feb 2026,1,2,February,2026,Evaluating the efficiency of Genetic Algorithm-based Routing in MANETs,"Preeti Patil | SK Prashanth | Houston , Tx | Vina M. Lomte | Priyanka Gupta | Shankar Gambhire","Genetic Algorithm, Evolutionary Routing, Performance Evaluation, Packet Delivery, Throughput, Wireless Communication",10,190,,"Due to the inherent instability of mobile ad hoc networks (MANETs), frequent node mobility, bandwidth constraint, and energy constraint are some of the problems that render effective routing an uphill task. Although the standard routing systems such as the AOMDV provide reliable path solutions, they do not necessarily provide the best solutions to optimizing the performance of networks in circumstances where the environment is becoming volatile. This paper uses the Network Simulator 2 (NS2) simulation to compare the performance of an AOMDV-based routing strategy with that of a Genetic Algorithms (GA)-based routing strategy. The simulation parameters are a node range of 40-120, a size of 1250 x 1250 m, the IEEE 802.11 MAC protocol and a transmission range of 250 m. Performance is measured by three major measures, which include end-to-end latency, packet delivery ratio, and throughput. The GA-based protocol based on the outcomes of the experiments minimizes the delay in high mobility situations and attains better rates of packet delivery and throughput. To enhance the efficiency and stability of MANET, the findings suggest that improvement of adaptability and robustness of routing solutions can be provided by evolutionary computation methods."
IJEPA-2026-008.pdf,Vol 1_Issue 2_Feb 2026,1,2,February,2026,An Efficient Ranked Multi-Keyword Search for Multiple Data Owners over Encrypted Cloud Data,Alka Baburao Suryawanshi,"Search for Multiple Data Owners over Encrypted Cloud Data Alka Baburao Suryawanshi Lecturer in Computer engineering, P.L. Government Institute of Engineering and Technology, Latur alkasurya17@gmail.com Abstract – Cloud computing enables users to outsource data storage and access services to remote servers. However, ensuring data privacy while supporting efficient search over encrypted data remains a significant challenge. Existing solutions mainly focus on single-owner models, whereas real-world cloud systems often involve multiple data owners. This paper presents a Privacy-Preserving Ranked Multi-keyword Search scheme in a Multi-owner Model (PRMSM). The proposed approach allows secure searching without revealing keyword or data information to the cloud",4,300,,"Cloud computing enables users to outsource data storage and access services to remote servers. However, ensuring data privacy while supporting efficient search over encrypted data remains a significant challenge. Existing solutions mainly focus on single-owner models, whereas real-world cloud systems often involve multiple data owners. This paper presents a Privacy-Preserving Ranked Multi-keyword Search scheme in a Multi-owner Model (PRMSM). The proposed approach allows secure searching without revealing keyword or data information to the cloud server. A novel additive order and privacy-preserving function is introduced to rank search results while protecting relevance scores. Additionally, dynamic key generation and user authentication mechanisms are implemented to enhance security and prevent unauthorized access. Experimental evaluation demonstrates that the proposed system achieves improved efficiency and security compared to existing approaches. Keywords – Cloud Computing, Searchable Encryption, Multi-keyword Search, Privacy Preservation, Data Security. 1. INTRODUCTION: Cloud storage systems provide scalable and cost-effective data management services. However, outsourcing sensitive data to third-party cloud providers raises serious privacy concerns. Encryption techniques can protect data confidentiality, but they limit usability, particularly for keyword-based search operations. Traditional searchable encryption schemes support secure keyword search but are primarily designed for single data owners. In practice, cloud environments involve multiple data owners who independently upload encrypted data. This scenario introduces new challenges in maintaining privacy, efficiency, and usability. This paper proposes a secure multi-owner searchable encryption scheme that supports ranked multi- keyword queries. The system enables cloud servers to process search requests without accessing plaintext data or keywords. Furthermore, it ensures that only authorized users can perform searches International Journal of Engineering Practices and Applications (IJEPA) Volume 1, Issue 2, February (2026) ©BuildSoftTech Publications 2 while maintaining data confidentiality. 2. RELATED WORK: Searchable encryption was first introduced by Song et al., enabling keyword-based searches over encrypted data. Subsequent research expanded this concep"
IJEPA-2026-009.pdf,Vol 1_Issue 2_Feb 2026,1,2,February,2026,Online Time Table Generator,Alka Baburao Suryawanshi,"Timetable Generation, Automation, Constraint Satisfaction, Scheduling Algorithms, Web Application",4,101,,"Timetable generation in educational institutions is a complex and time-consuming task when performed manually. It often results in scheduling conflicts such as overlapping classes, resource misallocation, and inefficient utilization of faculty and infrastructure. This paper presents an automated Online Time Table Generator that simplifies and optimizes the scheduling process. The system collects inputs such as subjects, faculty availability, classroom capacity, and institutional constraints to generate a conflict-free timetable. By applying algorithms such as greedy and backtracking approaches, the proposed system ensures efficient resource utilization and adaptability to dynamic changes. The solution improves accuracy, reduces human effort, and enhances overall scheduling efficiency."
IJEPA-2026-010.pdf,Vol 1_Issue 2_Feb 2026,1,2,February,2026,"Sustainable Building Design: Principles, Case Studies, and Performance Analysis of Green Buildings in India",Pramod Bhanudasrao Gavane,"Sustainable buildings, green construction, energy efficiency, water conservation, renewable energy, LEED, GRIHA",4,138,,"Sustainable building design has emerged as a critical approach to reducing environmental impact, improving resource efficiency, and enhancing occupant comfort in the construction industry. This study investigates key principles of sustainable building design and evaluates their practical implementation through selected case studies of prominent green buildings in India. The research focuses on parameters such as energy efficiency, water conservation, renewable energy integration, material sustainability, and indoor environmental quality. Buildings including Indira Paryavaran Bhawan, Suzlon One Earth, CII–Sohrabji Godrej Green Business Centre, ITC Green Centre, Rajiv Gandhi International Airport, Infosys Pocharam Campus, and Pearl Academy Jaipur are analyzed. The findings indicate that sustainable buildings achieve significant reductions in energy and water consumption while improving environmental performance and long-term economic benefits. The study highlights the importance of integrating passive design strategies, advanced technologies, and sustainable materials in modern construction practices."
